#name               W,GeV         dW,GeV         Sw,GeV        dSw,GeV        L,pb^-1       dL,pb^-1  run list
J1               3.087707       0.000076       0.001170       0.000071       2.501660       0.015241  55060-55065
J2               3.095783       0.000080       0.001026       0.000078       2.965350       0.016473  55066-55073
J3               3.096302       0.000073       0.001054       0.000070       5.105880       0.022093  55074-55083
J4               3.097034       0.000089       0.001018       0.000106       3.073060       0.017156  55084-55088
J5               3.097291       0.000100       0.001219       0.000096       1.706790       0.012534  55089-55091
J6               3.097738       0.000081       0.000946       0.000077       4.787310       0.021509  55092-55097
J7               3.098822       0.000081       0.001092       0.000085       5.751020       0.023835  55098-55103
J8               3.104067       0.000086       0.000960       0.000081       5.839800       0.024226  55104-55109
T1               3.538944       0.000179       0.001337       0.000100      23.779600       0.054000  55115-55139 55143-55155
T1p              3.550842       0.000178       0.001025       0.000185       3.995100       0.021000  55157-55161
T2               3.552899       0.000064       0.001499       0.000164      42.569800       0.072000  55162-55177 55179-55199
T3               3.553944       0.000079       0.001428       0.000079      27.145800       0.057000  55200-55231
T4               3.560353       0.000155       0.001258       0.000155       9.175500       0.032000  55232-55239
T5               3.599529       0.000140       0.001440       0.000126      15.019600       0.043000  55240-55257
T5p              3.601503       0.000082       0.001429       0.000083      14.860600       0.043000  55347-55361
P1               3.675448       0.000124       0.001427       0.000128       5.090760       0.024955  55258-55263
P2               3.683285       0.000102       0.001479       0.000098      16.316500       0.045470  55264-55276
P4               3.684299       0.000117       0.001397       0.000112       2.208369       0.016323  55286 55288
P3               3.684450       0.000197       0.001688       0.000194       3.320900       0.019330  55278-55285
P5               3.685399       0.000099       0.001101       0.000102       4.666240       0.023174  55289-55294
P6               3.685940       0.000097       0.001429       0.000095       6.871250       0.028198  55295-55308
P7               3.686366       0.000097       0.001436       0.000092       6.203920       0.026570  55309-55318
P8               3.687404       0.000102       0.001393       0.000098       5.242190       0.024557  55319-55325
P9               3.688022       0.000098       0.001350       0.000093       5.244280       0.024606  55326-55332
P10              3.689832       0.000100       0.001552       0.000091       6.129350       0.026689  55333-55339
P11              3.694091       0.000099       0.001326       0.000101       5.118420       0.024237  55340-55346
