run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55082	897.427	2018-04-15 18:25:23	2018-04-15 19:17:11	3104.8346341231	1552.4817396148	1552.5407470352	605.385493414	408.588872142	615.815033158	355.31060362
55083	985.074	2018-04-15 19:28:21	2018-04-15 20:22:51	3104.655938674	1552.3640669659	1552.4797150166	608.086382714	401.359194908	625.633024735	347.060314481
55084	766.39	2018-04-15 20:43:26	2018-04-15 21:29:09	3105.6584938456	1552.7170849492	1553.1293380688	601.313685142	402.272533798	610.357293221	394.21178353
55085	808.887	2018-04-15 21:41:55	2018-04-15 22:28:57	3105.532100759	1552.8304393704	1552.8895561163	610.549205484	397.247498734	620.096120916	410.221521592
55086	807.463	2018-04-15 22:41:16	2018-04-15 23:29:03	3105.5974732347	1552.7170849492	1553.0683062649	607.319766458	390.428228584	623.002022977	407.448753299
55087	801.798	2018-04-15 23:42:02	2018-04-15 23:49:59	3105.5364506808	1552.7737621367	1552.9505880062	613.707054432	575.341197118	618.196489593	571.408321186
55089	135.518	2018-04-16 10:45:55	2018-04-16 11:08:45	3105.4100441599	1552.8304393704	1552.7674922077	297.32688323	260.48701336	314.507417873	270.319080697
55090	908.481	2018-04-16 12:45:25	2018-04-16 13:38:34	3105.5931271952	1552.8304393704	1552.9505880062	608.678056596	403.908217976	601.579560129	357.865882529
55091	724.219	2018-04-16 13:58:36	2018-04-16 14:40:52	3105.6541523894	1552.8304393704	1553.0116198531	543.26011607	388.152376602	538.847475993	371.797437889
55092	858.049	2018-04-16 15:03:29	2018-04-16 15:48:57	3106.2469484363	1553.0091076119	1553.425806188	609.812049836	427.562244212	613.080558934	385.249924988
55093	776.321	2018-04-16 16:04:22	2018-04-16 16:44:12	3106.2425809716	1553.1267803677	1553.3037427957	598.298776182	439.766080922	617.862850253	403.242945684
55094	800.585	2018-04-16 16:55:52	2018-04-16 17:40:09	3106.4213047804	1553.1267803677	1553.4824927423	601.673256666	432.27147837	615.225187782	380.975900403
55095	775.073	2018-04-16 17:53:22	2018-04-16 18:34:47	3106.1248743011	1553.1267803677	1553.1860245281	599.91284524	437.876078846	617.741971392	397.793134209
55096	772.295	2018-04-16 18:47:05	2018-04-16 19:28:42	3106.3603094141	1553.1224623106	1553.425806188	604.463268308	437.521991158	615.879124913	397.09057991
55097	804.01	2018-04-16 19:45:43	2018-04-16 20:28:46	3106.3602831863	1553.1267803677	1553.4214610677	607.684221398	437.466092056	619.386483321	390.758857837
55098	952.657	2018-04-16 20:47:35	2018-04-16 21:43:36	3107.428175902	1553.5974715105	1554.0187418288	602.738862068	398.359316462	620.707880239	348.173498718
55099	970.015	2018-04-16 21:52:46	2018-04-16 22:48:54	3107.3018166695	1553.5931537755	1553.8966789558	603.898693382	392.486788568	615.593237452	351.390884696
55100	981.204	2018-04-16 22:58:07	2018-04-16 23:48:30	3107.3061565811	1553.536476218	1553.957710414	610.986931678	411.421013254	622.0602867	368.341715099
55101	966.118	2018-04-17 00:03:02	2018-04-17 01:00:42	3107.0620369813	1553.5974715105	1553.6525526899	608.32502965	372.039765664	614.241716403	362.276723391
55102	813.441	2018-04-17 01:16:15	2018-04-17 02:03:41	3107.3017904829	1553.5974715105	1553.8923341985	590.600250984	391.535963456	590.419867527	383.12099208
55103	933.815	2018-04-17 02:13:49	2018-04-17 03:08:58	3107.3671650051	1553.4797987069	1554.0754285729	606.93986071	371.715338724	612.796180698	379.00744842
55104	863.551	2018-04-17 03:27:26	2018-04-17 04:18:33	3112.4757689911	1556.1819602031	1556.4821375404	600.364120912	394.072497788	617.509007421	385.07030709
55105	992.69	2018-04-17 04:27:31	2018-04-17 05:24:24	3112.6544650983	1556.2429547332	1556.5998559151	608.491706242	385.423147478	614.570828068	368.920573317
55106	957.948	2018-04-17 05:33:57	2018-04-17 06:28:02	3112.5324491338	1556.2386388249	1556.4821375404	607.82167755	392.700458032	615.513650987	379.446492034
55107	971.048	2018-04-17 06:37:00	2018-04-17 07:33:02	3112.6501489533	1556.2386388249	1556.5998559151	608.841751102	382.796610188	617.498885552	372.828238564
55108	995.118	2018-04-17 07:42:40	2018-04-17 08:45:36	3112.5891285912	1556.2386388249	1556.5388253775	608.537858526	364.56591763	617.093407102	355.542702302
55109	937.567	2018-04-17 08:58:27	2018-04-17 10:07:06	3112.5324491338	1556.2386388249	1556.4821375404	567.674654292	320.030284494	600.10971584	338.921446393
55116	834.683	2018-04-19 22:52:36	2018-04-19 23:48:54	3549.1801900247	1774.7864230326	1774.608507679	579.325564224	406.128370996	598.598156572	403.258440394
55117	695.92	2018-04-20 00:05:34	2018-04-20 00:48:57	3549.1885736515	1774.6121581256	1774.7911567744	574.73173079	432.356397772	595.045199446	440.665427185
55118	179.441	2018-04-20 00:56:47	2018-04-20 01:07:53	3549.0143019023	1774.6121581256	1774.6168699709	583.78556404	0.15704765646	601.963748445	2.35933441618
55119	39.6241	2018-04-20 01:30:21	2018-04-20 01:35:24	3549.1843855929	1774.7297317571	1774.6693908303	577.784125972	555.294174018	597.146583967	-0.69140052256
55120	661.791	2018-04-20 02:42:38	2018-04-20 03:25:58	3549.1318823336	1774.5554666895	1774.7911567744	539.24991089	411.748202126	545.522295216	413.724553555
